"posture","congruentTrialType","switchTrialType","N","Mean","SD"
"sitting","congruent","noswitch",51,3.58597119838328,3.31603433104
"sitting","congruent","switch",51,5.65653377316713,5.09879706113197
"sitting","incongruent","noswitch",51,9.22851668500656,7.08625880780538
"sitting","incongruent","switch",51,18.1527262589993,11.476732064927
"standing","congruent","noswitch",51,4.37964994696596,3.82085193784107
"standing","congruent","switch",51,6.57968030973426,5.8462434570465
"standing","incongruent","noswitch",51,11.186074453303,9.53529031113103
"standing","incongruent","switch",51,18.3156099362471,10.6320192594922
