"posture","congruentTrialType","switchTrialType","N","Mean","SD"
"sitting","congruent","noswitch",51,532.16688125648,118.768910852025
"sitting","congruent","switch",51,589.306733654485,120.401774144759
"sitting","incongruent","noswitch",51,554.324974866811,130.012935183913
"sitting","incongruent","switch",51,643.495087989521,136.594161921669
"standing","congruent","noswitch",51,527.938242072669,111.475251330736
"standing","congruent","switch",51,590.115630793628,119.075793463612
"standing","incongruent","noswitch",51,558.90331938139,111.177694336788
"standing","incongruent","switch",51,642.084145015015,133.38920075565
