"sj" "cb" "blockNumber" "blockType" "trialNum" "congruency" "posture" "wordStim" "inkColour" "rt" "cResp" "resp" "ac"
"1_1_1" 1 3 "experimental" 29 "congruent" "STANDING" "RED" "red" 574 1 1 1
"1_1_1" 1 3 "experimental" 30 "congruent" "STANDING" "RED" "red" 367 1 1 1
"1_1_1" 1 3 "experimental" 31 "congruent" "STANDING" "GREEN" "green" 489 2 2 1
"1_1_1" 1 3 "experimental" 32 "neutral" "STANDING" "XXX" "green" 445 2 2 1
"1_1_1" 1 3 "experimental" 33 "neutral" "STANDING" "XXXXX" "red" 636 1 1 1
"1_1_1" 1 3 "experimental" 34 "incongruent" "STANDING" "RED" "green" 771 2 2 1
"1_1_1" 1 3 "experimental" 35 "congruent" "STANDING" "GREEN" "green" 404 2 2 1
"1_1_1" 1 3 "experimental" 36 "incongruent" "STANDING" "GREEN" "red" 372 1 1 1
"1_1_1" 1 4 "experimental" 1 "neutral" "STANDING" "XXXXX" "green" 358 2 2 1
"1_1_1" 1 4 "experimental" 2 "incongruent" "STANDING" "RED" "green" 624 2 2 1
"1_1_1" 1 4 "experimental" 3 "incongruent" "STANDING" "GREEN" "red" 495 1 1 1
"1_1_1" 1 4 "experimental" 4 "neutral" "STANDING" "XXX" "red" 347 1 1 1
"1_1_1" 1 4 "experimental" 5 "neutral" "STANDING" "XXXXX" "red" 342 1 1 1
"1_1_1" 1 4 "experimental" 6 "congruent" "STANDING" "RED" "red" 337 1 1 1
"1_1_1" 1 4 "experimental" 7 "incongruent" "STANDING" "RED" "green" 324 2 2 1
"1_1_1" 1 4 "experimental" 8 "neutral" "STANDING" "XXX" "green" 360 2 2 1
"1_1_1" 1 4 "experimental" 9 "congruent" "STANDING" "RED" "red" 362 1 1 1
"1_1_1" 1 4 "experimental" 10 "congruent" "STANDING" "GREEN" "green" 372 2 2 1
"1_1_1" 1 4 "experimental" 11 "incongruent" "STANDING" "GREEN" "red" 518 1 1 1
"1_1_1" 1 4 "experimental" 12 "congruent" "STANDING" "GREEN" "green" 449 2 2 1
"1_1_1" 1 4 "experimental" 13 "neutral" "STANDING" "XXXXX" "green" 392 2 2 1
"1_1_1" 1 4 "experimental" 14 "incongruent" "STANDING" "RED" "green" 384 2 2 1
"1_1_1" 1 4 "experimental" 15 "congruent" "STANDING" "RED" "red" 570 1 1 1
"1_1_1" 1 4 "experimental" 16 "congruent" "STANDING" "GREEN" "green" 467 2 2 1
"1_1_1" 1 4 "experimental" 17 "neutral" "STANDING" "XXXXX" "red" 377 1 1 1
"1_1_1" 1 4 "experimental" 18 "neutral" "STANDING" "XXX" "red" 418 2 1 0
"1_1_1" 1 4 "experimental" 19 "congruent" "STANDING" "RED" "red" 385 1 1 1
"1_1_1" 1 4 "experimental" 20 "incongruent" "STANDING" "GREEN" "red" 523 1 1 1
"1_1_1" 1 4 "experimental" 21 "incongruent" "STANDING" "RED" "green" 382 2 2 1
