"sj" "cb" "blockNumber" "blockType" "trialNum" "target" "targetImage" "distractor" "distractorImage" "posture" "setSize" "rt" "resp" "cresp" "ac"
1 1 2 "experimental" 58 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 891 "s" "s" 1
1 1 2 "experimental" 59 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 630 "s" "s" 1
1 1 2 "experimental" 60 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 826 "h" "h" 1
1 1 2 "experimental" 61 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 788 "s" "s" 1
1 1 2 "experimental" 62 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 736 "h" "h" 1
1 1 2 "experimental" 63 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 684 "h" "h" 1
1 1 2 "experimental" 64 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 576 "s" "s" 1
1 1 2 "experimental" 65 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 676 "s" "s" 1
1 1 2 "experimental" 66 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 670 "s" "s" 1
1 1 2 "experimental" 67 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 512 "s" "s" 1
1 1 2 "experimental" 68 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 917 "h" "h" 1
1 1 2 "experimental" 69 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 577 "s" "s" 1
1 1 2 "experimental" 70 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 657 "h" "h" 1
1 1 2 "experimental" 71 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 754 "h" "h" 1
1 1 2 "experimental" 72 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 730 "h" "h" 1
1 1 2 "experimental" 73 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 621 "h" "h" 1
1 1 2 "experimental" 74 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 655 "h" "h" 1
1 1 2 "experimental" 75 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 665 "s" "s" 1
1 1 2 "experimental" 76 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 537 "h" "h" 1
1 1 2 "experimental" 77 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 712 "s" "s" 1
1 1 2 "experimental" 78 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 592 "s" "s" 1
1 1 2 "experimental" 79 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 574 "s" "s" 1
1 1 2 "experimental" 80 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 762 "h" "h" 1
1 1 2 "experimental" 81 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 882 "h" "h" 1
1 1 2 "experimental" 82 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 628 "s" "s" 1
1 1 2 "experimental" 83 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 671 "s" "s" 1
1 1 2 "experimental" 84 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 913 "s" "s" 1
1 1 2 "experimental" 85 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 770 "h" "h" 1
1 1 2 "experimental" 86 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 1145 "s" "s" 1
1 1 2 "experimental" 87 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 686 "h" "h" 1
1 1 2 "experimental" 88 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 786 "h" "h" 1
1 1 2 "experimental" 89 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 755 "s" "s" 1
1 1 2 "experimental" 90 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 1250 "s" "s" 1
1 1 2 "experimental" 91 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 776 "h" "h" 1
1 1 2 "experimental" 92 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 590 "s" "s" 1
1 1 2 "experimental" 93 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 772 "s" "s" 1
1 1 2 "experimental" 94 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 715 "h" "h" 1
1 1 2 "experimental" 95 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 644 "h" "h" 1
1 1 2 "experimental" 96 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 779 "h" "h" 1
1 1 2 "experimental" 97 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 542 "s" "s" 1
1 1 2 "experimental" 98 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 629 "s" "s" 1
1 1 2 "experimental" 99 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 784 "h" "h" 1
